	cmd	descr	duration	enclaved	operation	program	size	time
1	['target/release/gcd', '13', '21']	Time from before all recursive calls to after them	3.6e-05	False	13, 21	gcd	2.0	2021-08-21 12:49:14.496560
2	['target/release/gcd', '144', '233']	Time from before all recursive calls to after them	8.4e-05	False	144, 233	gcd	3.0	2021-08-21 12:49:14.498909
3	['target/release/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.000133	False	1597, 2584	gcd	4.0	2021-08-21 12:49:14.501738
4	['target/release/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.000173	False	10946, 17711	gcd	5.0	2021-08-21 12:49:14.505055
5	['target/release/gcd', '121393', '196418']	Time from before all recursive calls to after them	0.000222	False	121393, 196418	gcd	6.0	2021-08-21 12:49:14.508759
6	['target/release/gcd', '1346269', '2178309']	Time from before all recursive calls to after them	0.000272	False	1346269, 2178309	gcd	7.0	2021-08-21 12:49:14.512942
7	['target/release/gcd', '14930352', '24157817']	Time from before all recursive calls to after them	0.000428	False	14930352, 24157817	gcd	8.0	2021-08-21 12:49:14.517636
8	['target/release/gcd', '102334155', '165580141']	Time from before all recursive calls to after them	0.000435	False	102334155, 165580141	gcd	9.0	2021-08-21 12:49:14.524090
9	['target/release/gcd', '12586269025', '20365011074']	Time from before all recursive calls to after them	0.000592	False	12586269025, 20365011074	gcd	11.0	2021-08-21 12:49:14.530434
0	['build/gcd', '2', '3']	Time from before all recursive calls to after them	0.020067	True	2, 3	gcd	1.0	2021-08-21 12:49:14.543870
1	['build/gcd', '13', '21']	Time from before all recursive calls to after them	0.039817	True	13, 21	gcd	2.0	2021-08-21 12:49:14.833284
2	['build/gcd', '144', '233']	Time from before all recursive calls to after them	0.065001	True	144, 233	gcd	3.0	2021-08-21 12:49:15.313250
3	['build/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.089559	True	1597, 2584	gcd	4.0	2021-08-21 12:49:16.041275
4	['build/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.109482	True	10946, 17711	gcd	5.0	2021-08-21 12:49:17.017254
5	['build/gcd', '121393', '196418']	Time from before all recursive calls to after them	0.134388	True	121393, 196418	gcd	6.0	2021-08-21 12:49:18.193259
6	['build/gcd', '1346269', '2178309']	Time from before all recursive calls to after them	0.159346	True	1346269, 2178309	gcd	7.0	2021-08-21 12:49:19.617252
7	['build/gcd', '14930352', '24157817']	Time from before all recursive calls to after them	0.183871	True	14930352, 24157817	gcd	8.0	2021-08-21 12:49:21.289261
8	['build/gcd', '102334155', '165580141']	Time from before all recursive calls to after them	0.204344	True	102334155, 165580141	gcd	9.0	2021-08-21 12:49:23.209250
9	['build/gcd', '12586269025', '20365011074']	Time from before all recursive calls to after them	0.253678	True	12586269025, 20365011074	gcd	11.0	2021-08-21 12:49:25.333288
0	['target/release/gcd', '2', '3']	Time from before all recursive calls to after them	1.2e-05	False	2, 3	gcd	1.0	2021-08-21 12:49:27.954163
1	['target/release/gcd', '13', '21']	Time from before all recursive calls to after them	3.6e-05	False	13, 21	gcd	2.0	2021-08-21 12:49:27.956603
2	['target/release/gcd', '144', '233']	Time from before all recursive calls to after them	8.4e-05	False	144, 233	gcd	3.0	2021-08-21 12:49:27.958949
3	['target/release/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.000133	False	1597, 2584	gcd	4.0	2021-08-21 12:49:27.961736
4	['target/release/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.000183	False	10946, 17711	gcd	5.0	2021-08-21 12:49:27.965047
5	['target/release/gcd', '121393', '196418']	Time from before all recursive calls to after them	0.000257	False	121393, 196418	gcd	6.0	2021-08-21 12:49:27.968867
